Package,Built
assertthat,3.4.0
backports,3.4.2
base,3.4.2
base64enc,3.4.0
BH,3.4.1
bindr,3.4.0
bindrcpp,3.4.0
binman,3.4.0
bitops,3.4.0
blogdown,3.4.2
bookdown,3.4.1
boot,3.4.2
bootstrap,3.4.0
broom,3.4.2
callr,3.4.0
car,3.4.3
caret,3.4.1
caTools,3.4.0
cellranger,3.4.0
class,3.4.2
cli,3.4.2
clipr,3.4.2
clisymbols,3.4.0
cluster,3.4.2
codetools,3.4.2
colorspace,3.4.0
combinat,3.4.0
compiler,3.4.2
crayon,3.4.1
curl,3.4.2
CVST,3.4.0
data.table,3.4.2
datasets,3.4.2
DBI,3.4.0
dbplyr,3.4.1
ddalpha,3.4.2
DEoptimR,3.4.0
desc,3.4.1
devtools,3.4.2
dichromat,3.4.0
digest,3.4.0
dimRed,3.4.0
dplyr,3.4.2
DRR,3.4.0
enc,3.4.2
evaluate,3.4.1
forcats,3.4.0
foreach,3.4.0
foreign,3.4.2
formatR,3.4.0
fs,3.4.2
gam,3.4.0
gbm,3.4.0
GGally,3.4.1
ggforce,3.4.0
ggfortify,3.4.0
ggplot2,3.4.0
ggraph,3.4.0
ggrepel,3.4.2
gh,3.4.1
git2r,3.4.1
glue,3.4.2
gower,3.4.0
graphics,3.4.2
grDevices,3.4.2
grid,3.4.2
gridExtra,3.4.1
gtable,3.4.0
haven,3.4.1
here,3.4.0
highr,3.4.0
hms,3.4.3
htmltools,3.4.0
htmlwidgets,3.4.1
httpuv,3.4.1
httr,3.4.1
hunspell,3.4.3
igraph,3.4.1
influence.ME,3.4.0
ini,3.4.2
ipred,3.4.0
irlba,3.4.2
ISLR,3.4.2
iterators,3.4.0
janeaustenr,3.4.0
jsonlite,3.4.0
kableExtra,3.4.2
kernlab,3.4.0
KernSmooth,3.4.2
klaR,3.4.0
knitr,3.4.1
labeling,3.4.0
lattice,3.4.2
lava,3.4.2
lazyeval,3.4.2
leaps,3.4.0
lme4,3.4.2
lmtest,3.4.0
lubridate,3.4.2
magick,3.4.2
magrittr,3.4.0
mailR,3.4.0
markdown,3.4.0
MASS,3.4.2
Matrix,3.4.2
MatrixModels,3.4.0
memoise,3.4.0
methods,3.4.2
mgcv,3.4.2
mime,3.4.0
miniUI,3.4.2
minpack.lm,3.4.0
minqa,3.4.0
MKmisc,3.4.0
mlbench,3.4.0
mnormt,3.4.0
ModelMetrics,3.4.0
modelr,3.4.1
mongolite,3.4.3
MPV,3.4.0
munsell,3.4.0
nlme,3.4.2
nloptr,3.4.0
NLP,3.4.1
nlstools,3.4.0
nnet,3.4.0
numDeriv,3.4.0
openssl,3.4.2
orcutt,3.4.2
ordinal,3.4.0
packrat,3.4.2
parallel,3.4.2
pbkrtest,3.4.0
pdftools,3.4.2
pkgconfig,3.4.0
PKI,3.4.1
plogr,3.4.0
plyr,3.4.0
prettyunits,3.4.0
prodlim,3.4.0
progress,3.4.0
pscl,3.4.2
psych,3.4.2
purrr,3.4.2
qpcR,3.4.0
quantreg,3.4.2
R.methodsS3,3.4.0
R.oo,3.4.0
R.utils,3.4.2
R6,3.4.0
randomForest,3.4.0
rappdirs,3.4.0
raster,3.4.2
RColorBrewer,3.4.0
Rcpp,3.4.3
RcppEigen,3.4.3
RcppRoll,3.4.0
RCurl,3.4.0
readr,3.4.0
readxl,3.4.0
recipes,3.4.3
REEMtree,3.4.0
rematch,3.4.0
rematch2,3.4.1
reprex,3.4.0
repurrrsive,3.4.1
reshape,3.4.1
reshape2,3.4.0
rgl,3.4.0
RGoogleAnalytics,3.4.0
ridge,3.4.0
rJava,3.4.2
rjson,3.4.0
RJSONIO,3.4.0
rlang,3.4.2
rmarkdown,3.4.2
RMongo,3.4.0
RMySQL,3.4.1
robustbase,3.4.2
rpart,3.4.2
rpart.plot,3.4.0
rprojroot,3.4.0
rsconnect,3.4.1
RSelenium,3.4.0
rstudioapi,3.4.1
rvest,3.4.0
scales,3.4.1
selectr,3.4.0
semver,3.4.0
sendmailR,3.4.0
servr,3.4.2
sfsmisc,3.4.0
shiny,3.4.2
slam,3.4.0
SnowballC,3.4.0
sourcetools,3.4.0
sp,3.4.1
SparseM,3.4.0
spatial,3.4.2
splines,3.4.2
stargazer,3.4.0
stats,3.4.2
stats4,3.4.2
stringi,3.4.2
stringr,3.4.0
styler,3.4.3
subprocess,3.4.2
survey,3.4.1
survival,3.4.2
tau,3.4.2
tcltk,3.4.2
textcat,3.4.0
tibble,3.4.1
tidyr,3.4.2
tidyselect,3.4.2
tidytext,3.4.2
tidyverse,3.4.2
timeDate,3.4.2
tm,3.4.3
tokenizers,3.4.0
tools,3.4.2
tree,3.4.0
tweenr,3.4.0
ucminf,3.4.0
udunits2,3.4.0
units,3.4.1
usdm,3.4.1
usethis,3.4.3
utils,3.4.2
V8,3.4.0
vcd,3.4.0
viridis,3.4.0
viridisLite,3.4.0
wdman,3.4.0
whisker,3.4.0
widyr,3.4.1
withr,3.4.2
XML,3.4.1
xml2,3.4.0
xray,3.4.2
xtable,3.4.0
yaml,3.4.0
zoo,3.4.0
